Angle [rad],Vrms [V],Vavg [V],Vrms [%],Vmeas [V],,In [%],Time [us],Time [ticks],Vmeas [V]
7.455E-01,115.295,93.567,95.97%,103.86,,,,,
7.486E-01,115.237,93.452,95.92%,103.73,,,,,
7.517E-01,115.179,93.335,95.87%,103.60,,,,,
7.547E-01,115.120,93.219,95.82%,103.47,,,,,
7.578E-01,115.120,93.219,95.82%,103.47,,,,,
7.609E-01,115.060,93.102,95.77%,103.34,,,,,
7.639E-01,115.001,92.985,95.72%,103.21,,,,,
7.670E-01,114.940,92.867,95.67%,103.08,,,,,
7.701E-01,114.880,92.749,95.62%,102.95,,,,,
7.732E-01,114.819,92.631,95.57%,102.82,,,,,
7.762E-01,114.757,92.512,95.52%,102.69,,,,,
7.793E-01,114.695,92.393,95.47%,102.56,,,,,
7.824E-01,114.633,92.273,95.41%,102.42,,,,,
7.854E-01,114.570,92.153,95.36%,102.29,,,,,
7.885E-01,114.507,92.033,95.31%,102.16,,,,,
7.916E-01,114.444,91.912,95.26%,102.02,,,,,
7.946E-01,114.380,91.791,95.20%,101.89,,,,,
7.977E-01,114.315,91.670,95.15%,101.75,,,,,
8.008E-01,114.250,91.548,95.10%,101.62,,,,,
8.038E-01,114.185,91.426,95.04%,101.48,,,,,
8.069E-01,114.119,91.303,94.99%,101.35,,,,,
8.100E-01,114.053,91.181,94.93%,101.21,,,,,
8.130E-01,113.986,91.057,94.88%,101.07,,,,,
8.161E-01,113.919,90.934,94.82%,100.94,,,,,
8.192E-01,113.852,90.810,94.76%,100.80,,,,,
8.222E-01,113.784,90.685,94.71%,100.66,,,,,
8.253E-01,113.715,90.560,94.65%,100.52,,,,,
8.284E-01,113.646,90.435,94.59%,100.38,,,,,
8.314E-01,113.577,90.310,94.54%,100.24,,,,,
8.345E-01,113.507,90.184,94.48%,100.10,,,,,
8.376E-01,113.437,90.058,94.42%,99.96,,,,,
8.407E-01,113.367,89.931,94.36%,99.82,,,,,
8.437E-01,113.295,89.804,94.30%,99.68,,,,,
8.468E-01,113.224,89.677,94.24%,99.54,,,,,
8.499E-01,113.152,89.550,94.18%,99.40,,,,,
8.529E-01,113.080,89.422,94.12%,99.26,,,,,
8.560E-01,113.007,89.293,94.06%,99.12,,,,,
8.591E-01,112.934,89.165,94.00%,98.97,,,,,
8.621E-01,112.860,89.036,93.94%,98.83,,,,,
8.652E-01,112.786,88.906,93.88%,98.69,,,,,
8.683E-01,112.711,88.776,93.81%,98.54,,,,,
8.713E-01,112.636,88.646,93.75%,98.40,,,,,
8.744E-01,112.560,88.516,93.69%,98.25,,,,,
8.775E-01,112.485,88.385,93.63%,98.11,,,,,
8.805E-01,112.408,88.254,93.56%,97.96,,,,,
8.836E-01,112.408,88.254,93.56%,97.96,,,,,
8.867E-01,112.331,88.123,93.50%,97.82,,,,,
8.897E-01,112.254,87.991,93.43%,97.67,,,,,
8.928E-01,112.176,87.859,93.37%,97.52,,,,,
8.959E-01,112.098,87.726,93.30%,97.38,,,,,
8.989E-01,112.019,87.594,93.24%,97.23,,,,,
9.020E-01,111.940,87.461,93.17%,97.08,,,,,
9.051E-01,111.861,87.327,93.11%,96.93,,,,,
9.081E-01,111.781,87.193,93.04%,96.78,,,,,
9.112E-01,111.700,87.059,92.97%,96.64,,,,,
9.143E-01,111.619,86.925,92.91%,96.49,,,,,
9.174E-01,111.538,86.790,92.84%,96.34,,,,,
9.204E-01,111.456,86.655,92.77%,96.19,,,,,
9.235E-01,111.374,86.520,92.70%,96.04,,,,,
9.266E-01,111.291,86.384,92.63%,95.89,,,,,
9.296E-01,111.208,86.248,92.56%,95.74,,,,,
9.327E-01,111.124,86.112,92.49%,95.58,,,,,
9.358E-01,111.040,85.975,92.42%,95.43,,,,,
9.388E-01,110.956,85.838,92.35%,95.28,,,,,
9.419E-01,110.871,85.701,92.28%,95.13,,,,,
9.450E-01,110.785,85.563,92.21%,94.97,,,,,
9.480E-01,110.699,85.425,92.14%,94.82,,,,,
9.511E-01,110.613,85.287,92.07%,94.67,,,,,
9.542E-01,110.526,85.148,92.00%,94.51,,,,,
9.572E-01,110.439,85.009,91.92%,94.36,,,,,
9.603E-01,110.351,84.870,91.85%,94.21,,,,,
9.634E-01,110.263,84.731,91.78%,94.05,,,,,
9.664E-01,110.174,84.591,91.70%,93.90,,,,,
9.695E-01,110.085,84.451,91.63%,93.74,,,,,
9.726E-01,109.996,84.310,91.55%,93.58,,,,,
9.756E-01,109.906,84.170,91.48%,93.43,,,,,
9.787E-01,109.815,84.029,91.40%,93.27,,,,,
9.818E-01,109.724,83.887,91.33%,93.11,,,,,
9.848E-01,109.633,83.746,91.25%,92.96,,,,,
9.879E-01,109.541,83.604,91.18%,92.80,,,,,
9.910E-01,109.449,83.462,91.10%,92.64,,,,,
9.941E-01,109.356,83.319,91.02%,92.48,,,,,
9.971E-01,109.263,83.176,90.94%,92.33,,,,,
1.000E+00,109.169,83.033,90.87%,92.17,,,,,
1.003E+00,109.075,82.890,90.79%,92.01,,,,,
1.006E+00,108.980,82.746,90.71%,91.85,,,,,
1.009E+00,108.980,82.746,90.71%,91.85,,,,,
1.012E+00,108.885,82.603,90.63%,91.69,,,,,
1.016E+00,108.790,82.458,90.55%,91.53,,,,,
1.019E+00,108.694,82.314,90.47%,91.37,,,,,
1.022E+00,108.597,82.169,90.39%,91.21,,,,,
1.025E+00,108.500,82.024,90.31%,91.05,,,,,
1.028E+00,108.403,81.879,90.23%,90.89,,,,,
1.031E+00,108.305,81.733,90.15%,90.72,,,,,
1.034E+00,108.207,81.587,90.07%,90.56,,,,,
1.037E+00,108.108,81.441,89.98%,90.40,,,,,
1.040E+00,108.009,81.295,89.90%,90.24,,,,,
1.043E+00,107.909,81.148,89.82%,90.07,,,,,
1.046E+00,107.809,81.001,89.73%,89.91,,,,,
1.049E+00,107.709,80.854,89.65%,89.75,,,,,
1.052E+00,107.608,80.706,89.57%,89.58,,,,,
1.055E+00,107.506,80.559,89.48%,89.42,,,,,
1.058E+00,107.404,80.411,89.40%,89.26,,,,,
1.062E+00,107.302,80.262,89.31%,89.09,,,,,
1.065E+00,107.199,80.114,89.23%,88.93,,,,,
1.068E+00,107.096,79.965,89.14%,88.76,,,,,
1.071E+00,106.992,79.816,89.05%,88.60,,,,,
1.074E+00,106.887,79.667,88.97%,88.43,,,,,
1.077E+00,106.783,79.517,88.88%,88.26,,,,,
1.080E+00,106.678,79.367,88.79%,88.10,,,,,
1.083E+00,106.572,79.217,88.70%,87.93,,,,,
1.086E+00,106.466,79.067,88.62%,87.76,,,,,
1.089E+00,106.359,78.916,88.53%,87.60,,,,,
1.092E+00,106.252,78.765,88.44%,87.43,,,,,
1.095E+00,106.145,78.614,88.35%,87.26,,,,,
1.098E+00,106.037,78.463,88.26%,87.09,,,,,
1.101E+00,105.929,78.311,88.17%,86.93,,,,,
1.105E+00,105.820,78.160,88.08%,86.76,,,,,
1.108E+00,105.711,78.008,87.99%,86.59,,,,,
1.111E+00,105.601,77.855,87.90%,86.42,,,,,
1.114E+00,105.491,77.703,87.80%,86.25,,,,,
1.117E+00,105.380,77.550,87.71%,86.08,,,,,
1.120E+00,105.269,77.397,87.62%,85.91,,,,,
1.123E+00,105.157,77.244,87.53%,85.74,,,,,
1.126E+00,105.045,77.090,87.43%,85.57,,,,,
1.129E+00,104.933,76.937,87.34%,85.40,,,,,
1.132E+00,104.820,76.783,87.25%,85.23,,,,,
1.135E+00,104.820,76.783,87.25%,85.23,,,,,
1.138E+00,104.707,76.629,87.15%,85.06,,,,,
1.141E+00,104.593,76.474,87.06%,84.89,,,,,
1.144E+00,104.478,76.320,86.96%,84.72,,,,,
1.147E+00,104.364,76.165,86.87%,84.54,,,,,
1.151E+00,104.249,76.010,86.77%,84.37,,,,,
1.154E+00,104.133,75.855,86.67%,84.20,,,,,
1.157E+00,104.017,75.699,86.58%,84.03,,,,,
1.160E+00,103.900,75.544,86.48%,83.85,,,,,
1.163E+00,103.783,75.388,86.38%,83.68,,,,,
1.166E+00,103.666,75.232,86.29%,83.51,,,,,
1.169E+00,103.548,75.075,86.19%,83.33,,,,,
1.172E+00,103.430,74.919,86.09%,83.16,,,,,
1.175E+00,103.311,74.762,85.99%,82.99,,,,,
1.178E+00,103.191,74.605,85.89%,82.81,,,,,
1.181E+00,103.072,74.448,85.79%,82.64,,,,,
1.184E+00,102.952,74.291,85.69%,82.46,,,,,
1.187E+00,102.831,74.133,85.59%,82.29,,,,,
1.190E+00,102.710,73.975,85.49%,82.11,,,,,
1.193E+00,102.588,73.817,85.39%,81.94,,,,,
1.197E+00,102.466,73.659,85.29%,81.76,,,,,
1.200E+00,102.344,73.501,85.19%,81.59,,,,,
1.203E+00,102.221,73.342,85.08%,81.41,,,,,
1.206E+00,102.098,73.184,84.98%,81.23,,,,,
1.209E+00,101.974,73.025,84.88%,81.06,,,,,
1.212E+00,101.850,72.866,84.77%,80.88,,,,,
1.215E+00,101.725,72.706,84.67%,80.70,,,,,
1.218E+00,101.600,72.547,84.57%,80.53,,,,,
1.221E+00,101.475,72.387,84.46%,80.35,,,,,
1.224E+00,101.349,72.228,84.36%,80.17,,,,,
1.227E+00,101.222,72.067,84.25%,79.99,,,,,
1.230E+00,101.096,71.907,84.15%,79.82,,,,,
1.233E+00,100.968,71.747,84.04%,79.64,,,,,
1.236E+00,100.841,71.586,83.93%,79.46,,,,,
1.239E+00,100.712,71.426,83.83%,79.28,,,,,
1.243E+00,100.584,71.265,83.72%,79.10,,,,,
1.246E+00,100.455,71.104,83.61%,78.93,,,,,
1.249E+00,100.325,70.942,83.51%,78.75,,,,,
1.252E+00,100.195,70.781,83.40%,78.57,,,,,
1.255E+00,100.065,70.619,83.29%,78.39,,,,,
1.258E+00,99.934,70.458,83.18%,78.21,,,,,
1.261E+00,99.934,70.458,83.18%,78.21,,,,,
1.264E+00,99.803,70.296,83.07%,78.03,,,,,
1.267E+00,99.671,70.134,82.96%,77.85,,,,,
1.270E+00,99.539,69.971,82.85%,77.67,,,,,
1.273E+00,99.406,69.809,82.74%,77.49,,,,,
1.276E+00,99.273,69.647,82.63%,77.31,,,,,
1.279E+00,99.140,69.484,82.52%,77.13,,,,,
1.282E+00,99.006,69.321,82.41%,76.95,,,,,
1.286E+00,98.872,69.158,82.30%,76.77,,,,,
1.289E+00,98.737,68.995,82.18%,76.58,,,,,
1.292E+00,98.602,68.831,82.07%,76.40,,,,,
1.295E+00,98.466,68.668,81.96%,76.22,,,,,
1.298E+00,98.330,68.504,81.85%,76.04,,,,,
1.301E+00,98.194,68.341,81.73%,75.86,,,,,
1.304E+00,98.057,68.177,81.62%,75.68,,,,,
1.307E+00,97.920,68.013,81.50%,75.49,,,,,
1.310E+00,97.782,67.849,81.39%,75.31,,,,,
1.313E+00,97.644,67.684,81.27%,75.13,,,,,
1.316E+00,97.505,67.520,81.16%,74.95,,,,,
1.319E+00,97.366,67.355,81.04%,74.76,,,,,
1.322E+00,97.227,67.191,80.93%,74.58,,,,,
1.325E+00,97.087,67.026,80.81%,74.40,,,,,
1.328E+00,96.947,66.861,80.69%,74.22,,,,,
1.332E+00,96.806,66.696,80.58%,74.03,,,,,
1.335E+00,96.665,66.530,80.46%,73.85,,,,,
1.338E+00,96.524,66.365,80.34%,73.67,,,,,
1.341E+00,96.382,66.200,80.22%,73.48,,,,,
1.344E+00,96.239,66.034,80.10%,73.30,,,,,
1.347E+00,96.096,65.868,79.99%,73.11,,,,,
1.350E+00,95.953,65.702,79.87%,72.93,,,,,
1.353E+00,95.810,65.536,79.75%,72.75,,,,,
